short_name,long_name,nationality,club
Y. Severin,Yoan Severin,France,Servette FC
I. Oda,纲田 樹,Japan,Kashima Antlers
J. Mahon,John Mahon,Republic of Ireland,Sligo Rovers
M. Hehne,Maurice Hehne,Germany,FSV Zwickau
S. Härtel,Sascha Härtel,Germany,FSV Zwickau
Valera,Antonio Valera Salmoral,Spain,SD Huesca
G. Zecca,Giacomo Zecca,Italy,Sassuolo
M. Prezioso,Mario Prezioso,Italy,Napoli
A. Bolivar,Agustín Gabriel Bolívar,Argentina,Gimnasia y Esgrima La Plata
O. Özdemir,Özer Özdemir,Turkey,Yeni Malatyaspor
K. Pagliuca,Kilian Pagliuca,Switzerland,FC Carl Zeiss Jena
M. Fallatah,Muhammad Abdul Fallatah,Saudi Arabia,Al Fayha
J. Finnerty,James Finnerty,Republic of Ireland,Bohemian FC
B. Njie,Bilal Njie,Norway,Odds BK
F. Atuahene,Francis Atuahene,Ghana,FC Dallas
J. Gurrola,José Gurrola,Mexico,FC Juárez
M. Villa,Maximiliano Villa,Uruguay,SD Ponferradina
U. Tezel,Uğur Tezel,Germany,SC Preußen Münster
A. Sebald,Alexander Sebald,Germany,FC Hansa Rostock
J. van Benthem,Jelle van Benthem,Netherlands,Heracles Almelo
R. Decostere,Robbe Decostere,Belgium,KSV Cercle Brugge
J. Galetto,Juan Galetto,Argentina,Patronato
Lombo,Pablo Lombo Suárez,Spain,CD Leganés
D. Quaranta,Danilo Quaranta,Italy,Ascoli
J. Escobar,Jacobo Escobar,Colombia,Rionegro Águilas
R. Dally,Rashawn Dally,Jamaica,FC Cincinnati
D. Muringen,Dehninio Muringen,Netherlands,ADO Den Haag
Alex Rey,Alejandro Rey Lugilde,Spain,CD Lugo
J. Handl,Johannes Handl,Austria,FK Austria Wien
E. Engelhardt,Erik Engelhardt,Germany,FC Hansa Rostock
M. Komar,Mateo Komar,Argentina,Patronato
B. Soumaré,Bryan Soumaré,France,Dijon FCO
M. Depta,Mark Depta,Germany,Viktoria Köln
D. Lia,Damiano Lia,Italy,Castellammare di Stabia
S. Elia,Salvatore Elia,Italy,Castellammare di Stabia
S. Kilyén,Szabolcs Kilyén,Romania,Sepsi OSK
J. Jiménez,Jaiber Jiménez,Mexico,Cruz Azul
D. Bilogrevic,Dominik Bilogrevic,Germany,SC Paderborn 07
Lee Dong Won,Dong Won Lee,Korea Republic,Ulsan Hyundai FC
E. Karakaş,Erdinç Karakaş,Turkey,Çaykur Rizespor
Filipe Ferreira,Filipe Ferreira Marques,Portugal,CF Fuenlabrada
M. Kuchta,Mateusz Kuchta,Poland,Zagłębie Lubin
K. O'Hara,Kieran O'Hara,Republic of Ireland,Burton Albion
M. Crowe,Michael Thomas Tallaksen Crowe,Wales,Preston North End
Y. Bobb,Yusupha Bobb,Gambia,Chievo Verona
A. Romano,Antonio Romano,Italy,Napoli
R. Selasi,Ransford Selasi,Ghana,Pescara
E. Besea,Prince Emmanuel Doudu Besea,Ghana,Frosinone
G. Sloggett,Greg Sloggett,Republic of Ireland,Derry City
P. Mystkowski,Przemyslaw Mystkowski,Poland,Jagiellonia Białystok
F. Al Sagour,Fawaz Al Sagour,Saudi Arabia,Al Wehda
A. Collins,Aaron Collins,Wales,Forest Green Rovers
J. Flores,Jordan Flores,England,Dundalk
M. Vargas,Miguel Angel Vargas Mañan,Chile,CD Cobresal
J. Eastwood,Jake Eastwood,England,Scunthorpe United
A. Celli,Alessandro Celli,Italy,Pescara
E. Adams,Ebou Adams,Gambia,Forest Green Rovers
O. Olomola,Olufela Olomola,England,Carlisle United
S. Al Najai,Sami Al Najai,Saudi Arabia,Damac FC
M. Welch-Hayes,Miles Welch-Hayes,England,Macclesfield Town
Strefezza,Gabriel Tadeu Strefezza Rebecato,Brazil,SPAL
Angel Sánchez,Ángel Sánchez Baró,Spain,RCD Espanyol
T. Onozawa,斧泽 隼輝,Japan,Cerezo Osaka
L. Fierro,Lucas Fierro,Chile,CD O'Higgins
D. Gojko,Denis Gojko,Poland,Piast Gliwice
S. Dieng,Seny Dieng,Switzerland,Doncaster Rovers
N. Leemhuis,Niels Leemhuis,Netherlands,Heracles Almelo
Hu Ruibao,胡睿宝,China PR,Henan Jianye FC
A. Koiki,Ali Koiki,England,Burnley
Yuan Mincheng,元敏诚,China PR,Chongqing Dangdai Lifan FC SWM Team
A. Bianchimano,Andrea Bianchimano,Italy,Perugia
N. Al Omran,Nasser Al Omran,Saudi Arabia,Al Shabab
D. Lanius,Dominik Lanius,Germany,Viktoria Köln
Park Chang Jun,박창준 Chang Jun Park,Korea Republic,Gangwon FC
J. Mäder,Janik Mäder,Germany,FSV Zwickau
D. Esmel,Dylan Esmel,Ivory Coast,1. FC Kaiserslautern
M. Tapias,Miguel Tapias,Mexico,Pachuca
Y. Magnin,Yohann Magnin,France,Clermont Foot 63
A. Bacci,Alessandro Bacci,Italy,Ascoli
K. Álvarez,Kevin Álvarez,Honduras,IFK Norrköping
O. Rushfort,Oliver Rushfort,England,Bury
R. Buckmaster,Rece Buckmaster,United States,New York Red Bulls
L. Popescu,Laurențiu Popescu,Romania,Universitatea Craiova
F. Egerer,Florian Egerer,Germany,SV Meppen
M. Barraza,Mauro Barraza,Argentina,Central Córdoba
U. Eneme-Ella,Ulrick Eneme-Ella,France,Amiens SC
G. Debeljuh,Gabriel Debeljuh,Croatia,FC Hermannstadt
U. Akyol,Ufuk Akyol,Germany,Antalyaspor
M. Huard,Matthieu Huard,France,AC Ajaccio
C. Mora,Christian Mora,Italy,Cittadella
G. Ushler,Gus Ushler,England,Bury
P. Itter,Pascal  Itter,Germany,Chemnitzer FC
C. Evans,Callum Evans,England,Port Vale
F. Rojas,Flavio Rojas,Chile,CD Cobresal
N. Lüchinger,Nicolas Lüchinger,Switzerland,FC St. Gallen
S. Bastien,Sacha Bastien,France,Stevenage
J. Hardy,James Hardy,England,Walsall
M. Barnes,Marcus Barnes,England,Southampton
M. Kula,Mert Kula,Turkey,Kayserispor
E. Sonupé,Emmanuel Sonupé,England,Stevenage
L. Contin,Leandro Contin,Argentina,Gimnasia y Esgrima La Plata
D. Fernández,Diego Fernández,Chile,Deportes Iquique
R. Sallinger,Raphael Sallinger,Austria,TSV Hartberg
M. Pedersen,Mikkel Pedersen,Denmark,Hobro IK
F. Lach,Frederik Lach,Germany,FC Hansa Rostock
P. Fassnacht,Pierre Fassnacht,Germany,FC Carl Zeiss Jena
D. Szymonowicz,Dawid Szymonowicz,Poland,Raków Częstochowa
R. Peiponen,Roni Peiponen,Finland,HJK Helsinki
S. Kjellevold,Simen Lillevik Kjellevold,Norway,Stabæk Fotball
W. Al Anazi,Waleed Hezam Al Anazi,Saudi Arabia,Al Shabab
J. Bauza,Juan Bauza,Argentina,Górnik Zabrze
T. Costantini,Tommaso Costantini,Italy,SPAL
E. Louro,Evan Louro,United States,New York Red Bulls
Son Suk Yong,손석용 宋世勇,Korea Republic,Daegu FC
A. Sicker,Arne Sicker,Germany,MSV Duisburg
J. Homawoo,Josué Homawoo,Togo,FC Nantes
H. Al Qahtani,Hussain Al Qahtani,Saudi Arabia,Al Faisaly
G. Bakırbaş,Göktuğ Bakırbaş,Turkey,Göztepe SK
T. Ivanof,Tyron Ivanof,Belgium,KV Kortrijk
A. Björnström,Axel Björnström,Sweden,IK Sirius
Kim Jung Ho,김정호 Jung Ho Kim,Korea Republic,Incheon United FC
E. Weeger,Eric Weeger,Germany,TSV 1860 München
D. Vokić,Dejan Vokić,Slovenia,Benevento
B. Stephens,Ben Stephens,England,Macclesfield Town
K. Bucker,Koen Bucker,Netherlands,Heracles Almelo
J. Buss,Jens Buss,Chile,Curicó Unido
D. Rentería,Dixon Rentería,Colombia,Independiente Santa Fe
H. Al Mansoury,Hamad Al Mansoury,United Arab Emirates,Al Ain FC
Y. Hasegawa,Yushi Hasegawa,Japan,Oita Trinita
Javi Siverio,Javier Siverio Toro,Spain,Racing Santander
B. dos Santos,Benedict dos Santos,Germany,SV Waldhof Mannheim
K. Muhar,Karlo Muhar,Croatia,Lech Poznań
R. Hreniuc,Raul Hreniuc,Romania,Universitatea Craiova
C. Manzinga,Christy Manzinga,France,Motherwell
M. Langer,Marcel Langer,Germany,FC Schalke 04
D. Jones,Daniel Jones,England,Salford City
E. Dieseruvwe,Emmanuel Dieseruvwe,England,Salford City
S. Long,Sean Long,Republic of Ireland,Cheltenham Town
C. O'Malley,Conor O'Malley,Republic of Ireland,Peterborough United
L. Villalba,Leonardo Enrique Villalba,Argentina,Central Córdoba
T. Königsmann,Timo Königsmann,Germany,SV Waldhof Mannheim
A. Ryczkowski,Adam Ryczkowski,Poland,Górnik Zabrze
F. Børsting,Frederik Børsting,Denmark,Aalborg BK
M. Maigaard,Mikkel Maigaard,Denmark,Strømsgodset IF
R. Coughlan,Ronan Coughlan,Republic of Ireland,Sligo Rovers
D. Markey,Darragh Markey,Republic of Ireland,St. Patrick's Athletic
F. Kelleher,Fiacre Kelleher,Republic of Ireland,Macclesfield Town
T. Vassell,Theo Vassell,England,Macclesfield Town
D. Pineda,Diego Pineda,Mexico,Atlético de San Luis
D. Cardelli,Daniele Cardelli,Italy,Pisa
J. Gibbons,James Gibbons,England,Port Vale
Rubén Sánchez,Rubén Sánchez Pérez,Spain,Granada CF
S. Al Nabit,Sumayhan Al Nabit,Saudi Arabia,Abha Club
K. Shibato,柴戸 海,Japan,Urawa Red Diamonds
H. Ayaroğlu,Hasan Ayaroğlu,Turkey,Alanyaspor
A. Dudea,Alin Dudea,Romania,Chindia Târgovişte
J. Gutjahr,Jeremiah Gutjahr,United States,Chicago Fire
Ming Tian,Tian Ming,China PR,Wuhan Zall
H. Trewbridge,Harry Trewbridge,England,Bury
A. Al Shahrani,Abdulaziz Al Shahrani,Saudi Arabia,Damac FC
D. van der Sluys,Dean van der Sluys,Netherlands,RKC Waalwijk
D. Tokpa,Darell Tokpa,France,Amiens SC
S. Makuka,Steve Makuka,Uruguay,Atlético Bucaramanga
J. Rodríguez,Jesús Iván  Rodríguez Trujillo,Mexico,Puebla FC
J. Maxted,Jonny Maxted,England,Exeter City
A. Moreno,Amando Moreno,United States,Chicago Fire
R. Browne,Rhys Browne,Antigua & Barbuda,Port Vale
D. Love,Donald Love,Scotland,Shrewsbury
G. Jarl,Gustav Jarl,Sweden,AFC Eskilstuna
D. Restrepo,Daniel Restrepo Agudelo,Colombia,Cúcuta Deportivo
S. Matthews,Sam Matthews,England,Bristol Rovers
R. Al Ghamdi,Rayed Al Ghamdi,Saudi Arabia,Al Raed
J. Allen,Jordan Allen,United States,Real Salt Lake
C. Bishop,Colby Bishop,England,Accrington Stanley
Zou Dehai,邹德海,China PR,Beijing Sinobo Guoan FC
G. Blackwood,George Blackwood,Australia,Adelaide United
R. Ariza,Ronaldo Ariza,Colombia,Alianza Petrolera
S. Joss,Sven Joss,Switzerland,FC Thun
R. Aoki,青木 亮太,Japan,Nagoya Grampus
L. Merolla,Lucas Gabriel Merolla,Argentina,Club Atlético Huracán
Yoo Seung Min,유승민 俞圣民,Korea Republic,Jeonbuk Hyundai Motors
M. Matsumoto,松本 昌也,Japan,Júbilo Iwata
R. Takano,髙野 辽,Japan,Yokohama F. Marinos
Kim Han Gil,김한길 金汉吉,Korea Republic,FC Seoul
J. Gies,Jeroen Gies,Germany,SV Meppen
D. Maekawa,前川 黛也,Japan,Vissel Kobe
R. Germain,ジャーメイン 良,Japan,Vegalta Sendai
Jon Bakero,Jon Bakero,Spain,Toronto FC
T. Corbaz,Thibault Corbaz,Switzerland,Neuchâtel Xamax
S. Kchouk,Slimène Kchok,Tunisia,FC St. Gallen
S. Paintsil,Seth Paintsil,Ghana,FC Admira Wacker Mödling
E. Wiemberg,Erick Wiemberg,Chile,Unión La Calera
K. Hodžić,Kadir Hodžić,Sweden,AFC Eskilstuna
J. Marx,Jan Hendrik Marx,Germany,SV Waldhof Mannheim
P. Pațurcă,Paul Pațurcă,Romania,Academica Clinceni
G. Ajayi,Goodness Ajayi,Nigeria,Astra Giurgiu
L. Ried,Lukas Ried,Austria,TSV Hartberg
C. Klaus,Carl Klaus,Germany,SV Darmstadt 98
A. Hirzel,Andreas Hirzel,Switzerland,FC Thun
J. Ironside,Joe Ironside,England,Macclesfield Town
J. Alabi,James Alabi,England,Leyton Orient
P. Mullin,Paul Mullin,England,Tranmere Rovers
K. Nitzlnader,Kevin Nitzlnader,Austria,WSG Tirol
J. Simonsen,Jeppe Friborg Simonsen,Denmark,SønderjyskE
Ye Chongqiu,叶重秋,China PR,Jiangsu Suning FC
Ryu Jae Moon,류재문 刘在暮,Korea Republic,Daegu FC
Hwang ByeongGeun,황병근 黄秉根,Korea Republic,Sangju Sangmu FC
J. Brophy,James Brophy,England,Leyton Orient
J. Tratt,Jacob Tratt,Australia,Perth Glory
Long Cheng,龙成,China PR,Jiangsu Suning FC
Yeerjieti Yeerzati,叶尔杰提·叶尔扎提,China PR,Chongqing Dangdai Lifan FC SWM Team
A. Al Najai,Ahmad Al Najai,Saudi Arabia,Abha Club
Lee Ji Hoon,이지훈 李智训,Korea Republic,Incheon United FC
M. Bleve,Marco Bleve,Italy,Lecce
J. Kiassumbua,Joël Kiassumbua,DR Congo,Servette FC
D. Dumitrașcu,Denis Dumitrașcu,Romania,Chindia Târgovişte
J. Gómez,Johan Gómez,Colombia,Cúcuta Deportivo
D. Lyness,Dean Lyness,England,St. Mirren
D. Cornell,David Cornell,Wales,Northampton Town
K. Riksvold,Kim Ove Norum Riksvold,Norway,Ranheim Fotball
D. Cole,Darren Cole,Scotland,Derry City
B. Wilson,Ben Wilson,England,Coventry City
K. Bigler,Kevin Bigler,Switzerland,FC Thun
C. Stockton,Cole Stockton,England,Morecambe
R. Castro,Rodrigo Castro,Argentina,Deportes Iquique
D. Bozic,Dejan Bozic,Germany,Chemnitzer FC
C. Quenum,Chérif Quenum,France,Valenciennes FC
Choi Chi Won,Chi Won Choi,Korea Republic,Gangwon FC
A. Jafar,Abdulwahab Jafar,Saudi Arabia,Damac FC
H. Mitsumaru,三丸 拡,Japan,Sagan Tosu
E. Næsbak Brenden,Erik Næsbak Brenden,Norway,Lillestrøm SK
J. Smith,Joshua Smith,United States,Finn Harps
J. Montaño,Jackson David Montaño Palacios,Colombia,Alianza Petrolera
A. Abdellaoui,Ayoub Abdellaoui,Algeria,FC Sion
B. Čečarić,Bojan Čečarić,Serbia,Cracovia
C. Gaínza,Camilo Gaínza,Chile,Deportes Iquique
Jung Hoon Sung,정훈성 Hoon Sung Jung,Korea Republic,Incheon United FC
J. Grzesik,Jan Grzesik,Poland,LKS Lodz
M. Al Najai,Muhannad Al Najai,Saudi Arabia,Damac FC
A. Barry,Aaron Barry,Republic of Ireland,Bohemian FC
C. Brown,Corey Edward Brown,Australia,Melbourne Victory
Pei Shuai,裴帅,China PR,Tianjin Quanjian FC
J. Gulley,Justin Gulley,New Zealand,New Zealand
N. Al Muwallad,Nader Al Muwallad,Saudi Arabia,Al Adalah
H. Al Jayzani,Hamad Suliman Al Jayzani,Saudi Arabia,Damac FC
Wang Fei,王飞,China PR,Henan Jianye FC
Park Won Jae,박원재 朴源载,Korea Republic,Seongnam FC
Y. Suzuki,铃木 雄斗,Japan,Gamba Osaka
N. Mirković,Nikola Mirković,Serbia,SønderjyskE
E. Fujishima,藤嶋 栄介,Japan,Kawasaki Frontale
S. Neurauter,Sandro Neurauter,Austria,WSG Tirol
L. Scepanik,Lukas Scepanik,Germany,MSV Duisburg
A. Ginti,Adit Ginti,India,India
A. Khurana,Anuvinda Khurana,India,India
A. Maadi,Ali Maadi,Saudi Arabia,Al Faisaly
C. Crialese,Carlo Crialese,Italy,Virtus Entella
S. Bennett,Scott Bennett,England,Newport County
F. Rossi,Francesco Rossi,Italy,Atalanta
C. Clifford,Conor Clifford,Republic of Ireland,St. Patrick's Athletic
D. Cawley,David Cawley,Republic of Ireland,Sligo Rovers
K. Buckley,Keith Buckley,Republic of Ireland,Bohemian FC
D. Jarvis,Dean Jarvis,Northern Ireland,Dundalk
A. Yussuf,Adi Yussuf,Tanzania,Blackpool
L. O'Neil,Liam O'Neil,England,Cambridge United
J. Pepper,Jacob Pepper,Australia,Brisbane Roar
H. Konongo,Hugo Konongo,Congo,Sepsi OSK
M. Attiyah,Mohammed Attiyah,Saudi Arabia,Al Shabab
M. Al Rashdi,Murad Al Rashdi,Saudi Arabia,Al Adalah
B. Garcés,Jhord Bayron Garcés Moreno,Colombia,Atlético Huila
R. Al Radhi,Radhi Al Radhi,Saudi Arabia,Al Adalah
F. Cerda,Fabián Alfredo Cerda Valdés,Chile,CD Palestino
T. Mokwa,Tomasz Mokwa,Poland,Piast Gliwice
Wang Weicheng,王维成,China PR,Chongqing Dangdai Lifan FC SWM Team
R. Hironaga,廣永 遼太郎,Japan,Sanfrecce Hiroshima
T. Imai,今井 智基,Japan,Matsumoto Yamaga
K. Nakami,中美 庆哉,Japan,Matsumoto Yamaga
F. Costa,Federico Costa,Argentina,Patronato
G. Bokwé,Georges Motase Bokwé,Cameroon,Mjøndalen IF
F. Pangop,Frantz Pangop,Cameroon,SCR Altach
T. Kallevåg,Torbjørn Kallevåg,Norway,FK Haugesund
H. Pritchard,Harry Pritchard,England,Blackpool
W. Coulibaly,Wonlo Coulibaly,Ivory Coast,Côte d'Ivoire
H. Pernía,Henri Pernía,Venezuela,Unión Magdalena
H. Al Maqati,Hamed Al Maqati,Saudi Arabia,Al Hazem
A. Melksham,Adrian Melksham,England,Bury
L. Dumitriu,Lucian Dumitriu,Romania,FC Hermannstadt
F. Michel,Florian Michel,France,Grenoble Foot 38
M. Harrold,Matt Harrold,England,Leyton Orient
A. Karadas,Azar Karadas,Norway,SK Brann
R. Harley,Ryan Harley,England,Milton Keynes Dons
S. Dawson,Stephen Dawson,Republic of Ireland,Bury
B. Moore,Byron Moore,England,Plymouth Argyle
L. Joyce,Luke Joyce,England,Port Vale
D. Da Costa,David Da Costa,Switzerland,FC Lugano
T. Velaphi,Tando Velaphi,Australia,Perth Glory
F. Al Shammari,Fahad Al Shammari,Saudi Arabia,Al Fayha
Zhu Ting,朱挺,China PR,Dalian YiFang FC
Yang Qipeng,杨启鹏,China PR,Tianjin TEDA FC
Ding Jie,丁捷,China PR,Chongqing Dangdai Lifan FC SWM Team
Wan Houliang,万厚良,China PR,Beijing Renhe FC
M. Youssouf,Mohamed Youssouf,Comoros,AC Ajaccio
J. Widdowson,Joe Widdowson,England,Leyton Orient
P. Vincenti,Peter Vincenti,England,Macclesfield Town
B. Sielewski,Bartłomiej Sielewski,Poland,Wisła Płock
Wang Song,汪嵩,China PR,Jiangsu Suning FC
D. Melichárek,Dušan Melichárek,Czech Republic,Malmö FF
C. Clements,Christopher Clements,England,Cheltenham Town
G. Taylor,Greg Taylor,England,Cambridge United
E. Cebotaru,Eugeniu Cebotaru,Moldova,Academica Clinceni
J. Aymes,Jérémy Aymes,France,Le Mans FC
A. Blackman,Andre Blackman,England,Southend United
J. Cook,Jordan Cook,England,Grimsby Town
N. Yamada,山田 直輝,Japan,Shonan Bellmare
J. Dunleavy,Johnny Dunleavy,Republic of Ireland,Sligo Rovers
F. Musaev,Fozil Musaev,Uzbekistan,Júbilo Iwata
W. Łuczak,Wojciech Łuczak,Poland,LKS Lodz
A. Tutte,Andrew Tutte,England,Morecambe
Yun Ju Tae,윤주태 尹柱泰,Korea Republic,FC Seoul
T. Nichols,Tom Nichols,England,Bristol Rovers
D. Byrtek,Damian Byrtek,Poland,Piast Gliwice
D. Leadbitter,Daniel Leadbitter,England,Newport County
B. Al Baqi,Basim Al Baqi,Saudi Arabia,Al Ahli
S. Otayf,Saqer Otayf,Saudi Arabia,Al Fateh
P. Baiocco,Paolo Baiocco,Italy,Livorno
J. Blyth,Jacob Blyth,England,Macclesfield Town
M. Al Bassas,Mustafa Mahdi Al Bassas,Saudi Arabia,Al Ahli
C. Subero,Cristhian Camilo Subero Mier,Colombia,Unión Magdalena
S. Céspedes,Sebastián Edgardo Cespedes Reyes,Chile,CD Cobresal
J. Hunt,Johnny Hunt,England,Hamilton Academical FC
S. Makani,Sosha Makani,Iran,Mjøndalen IF
L. Maldonado,Lino Waldemar Maldonado Gárnica,Chile,CD Cobresal
Chen Jie,陈杰,China PR,Beijing Renhe FC
J. Coulson,Josh Coulson,England,Leyton Orient
H. Dunk,Harrison Dunk,England,Cambridge United
Qiao Wei,Wei Qiao,China PR,Shenzhen FC
A. Qaisi,Abdullah Qaisi,Saudi Arabia,Abha Club
M. Abu Shararah,Mazen Ali Abu Shararah,Saudi Arabia,Damac FC
N. Iwadate,岩馆 直,Japan,Urawa Red Diamonds
D. Nasu,那须 大亮,Japan,Vissel Kobe
Y. Takeda,武田 洋平,Japan,Nagoya Grampus
Y. Ota,太田 吉彰,Japan,Júbilo Iwata
A. Belahmeur,Abdelhak Belahmeur,France,FC Voluntari
A. Al Nashi,Abdulaziz Al Nashi,Saudi Arabia,Al Hazem
K. Tanno,丹野 研太,Japan,Cerezo Osaka
T. Siedschlag,Tim Siedschlag,Germany,Holstein Kiel
M. Harzan,Mohammed Mohsen Harzan,Saudi Arabia,Al Taawoun
M. Kremer,Max Kremer,Germany,SV Meppen
D. Srnić,Dragoljub Srnić,Serbia,LKS Lodz
A. El Hriti,Aniss  El Hriti,France,FC Chambly Oise
S. Kassar,Sami Kassar,Saudi Arabia,Damac FC
M. Langer,Matti Langer,Germany,Chemnitzer FC
J. Franzoni,Juan Cruz Franzoni,Argentina,Patronato
Liu Huan,刘欢,China PR,Beijing Sinobo Guoan FC
Ke Zhao,柯钊,China PR,Henan Jianye FC
Qiu Tianyi,邱添一,China PR,Tianjin TEDA FC
T. Kodama,児玉 剛,Japan,FC Tokyo
J. Igbarumah,John Junior Igbarumah,Nigeria,IK Sirius
R. Cabrera,Rodrigo Cabrera,Uruguay,CD Cobresal
A. Boroughbridge,Archie Boroughbridge,England,Bury
R. Romeo,Roberto Romeo,Italy,Gaz Metan Mediaş
S. Eichmeier,Sascha Eichmeier,Germany,Viktoria Köln
V. Olariu,Vasile Olariu,Romania,Academica Clinceni
Elsinho,Elson José Dias Junior,Brazil,FC Juárez
K. Barnawi,Karam Barnawi,Saudi Arabia,Abha Club
S. Perović,Slavko Perović,Serbia,Dinamo Bucureşti
M. Sánchez,Marcos Sánchez,Argentina,Central Córdoba
K. Santini,Krševan Santini,Croatia,Jagiellonia Białystok
J. Passaglia,Juan Pablo Passaglia,Argentina,Politehnica Iaşi
N. Allievi,Nicholas Allievi,Italy,Castellammare di Stabia
A. Deshpande,Attana Deshpande,India,India
T. Atwal,Tapish Atwal,India,India
B. Sidhu,Bismeet Sidhu,India,India
R. Nadkarni,Remil Nadkarni,India,India
M. Radin,Milan Radin,Serbia,Korona Kielce
K. Stoyanov,Krum Stoyanov,Bulgaria,Bulgaria
G. Bazunu,Gavin Bazunu,Republic of Ireland,Manchester City
K. Bafounta,Kamal Bafounta,France,Borussia Dortmund
J. von Moos,Julian von Moos,Switzerland,FC Basel 1893
X. Amaechi,Xavier Amaechi,England,Hamburger SV
J. Bowden,Jamie Bowden,England,Tottenham Hotspur
M. Daly,Matty Daly,England,Huddersfield Town
J. Hove,Johan Hove,Norway,Strømsgodset IF
B. Provoste,Branco Provoste,Chile,Colo-Colo
N. Kirby,Nya Kirby,England,Crystal Palace
D. Adshead,Daniel Adshead,England,Norwich City
S. Çetin,Şahverdi Çetin,Germany,Eintracht Frankfurt
G. Verón,Gastón Verón,Argentina,Argentinos Juniors
G. Bello,George Bello,United States,Atlanta United
K. Watts,Kelland Watts,England,Stevenage
L. Zumberi,Lavdim Zumberi,Switzerland,FC Zürich
L. Unbehaun,Luca Unbehaun,Germany,Borussia Dortmund
Y. Juárez,Yoel Juárez,Argentina,Club Atlético Aldosivi
A. Trubin,Anatoliy Trubin,Ukraine,Shakhtar Donetsk
N. Zohoré,Nathan Zohoré,France,FC Sochaux-Montbéliard
E. Eyibil,Erkan Eyibil,Germany,1. FSV Mainz 05
Y. Larouci,Yasser Larouci,Algeria,Liverpool
J. Westerman,Jarno Westerman,Netherlands,PEC Zwolle
J. Valencia,Jader Andrés Valencia Mena,Colombia,Racing Club de Lens
E. Chapman,Ellis Chapman,England,Lincoln City
J. Oksanen,Jaakko Oksanen,Finland,Brentford
B. Mines,Benjamin Mines,United States,New York Red Bulls
L. Chávez,Lautaro Chávez,Argentina,Gimnasia y Esgrima La Plata
E. Erhahon,Ethan Erhahon,Scotland,St. Mirren
L. Benedetti,Leonardo Benedetti,Italy,Spezia
M. Weigandt,Marcelo Weigandt,Argentina,Boca Juniors
Y. Baret,Yohan Baret,France,En Avant de Guingamp
R. Geeraerts,Ruben Geeraerts,Belgium,Royal Antwerp FC
C. Sene,Cory Sene,Senegal,Racing Club de Lens
A. Bolger,Aaron Bolger,Republic of Ireland,Cardiff City
V. Millico,Vincenzo Millico,Italy,Torino
N. Hahn,Niels Hahn,Austria,FK Austria Wien
I. Sekigawa,関川 郁万,Japan,Kashima Antlers
J. Zurbriggen,Juan Cruz Zurbriggen,Argentina,Club Atlético Colón
A. McCalmont,Alfie McCalmont,Northern Ireland,Leeds United
R. Hajal,Rami Hajal,Sweden,SC Heerenveen
C. Petrila,Claudiu Petrila,Romania,CFR Cluj
C. Richards,Chris Richards,United States,Bayern München II
J. Martin,Josh Martin,England,Norwich City
R. Philippe,Rayan Philippe,France,Dijon FCO
E. Bohinen,Emil Bohinen,Norway,Stabæk Fotball
J. Rieckmann,Julian Rieckmann,Germany,SV Werder Bremen
R. Giles,Ryan Giles,England,Shrewsbury
T. Matthews,Tashreeq Matthews,South Africa,Helsingborgs IF
J. Daly,James Daly,England,Crystal Palace
M. Valiente,Mauro Valiente,Argentina,Club Atlético Talleres
P. Wade,Paul Wade,France,OGC Nice
F. Cristea,Francisc Cristea,Romania,Politehnica Iaşi
J. Osei-Tutu,Jordi Osei-Tutu,England,VfL Bochum 1848
J. Löwe,Justin Löwe,Germany,SG Dynamo Dresden
E. Elizalde,Edgar Joel Elizalde Ferreira,Uruguay,Pescara
J. Brown,Jaden Brown,England,Huddersfield Town
R. Slater,Regan Slater,England,Scunthorpe United
B. Kavanagh,Brandon Kavanagh,Republic of Ireland,Shamrock Rovers
D. Ballard,Daniel Ballard,Northern Ireland,Swindon Town
E. Lara,Edwin Lara,Mexico,Club León
C. Guerrero,Carlos Guerrero,Mexico,Club León
A. Deuro,Aldom Deuro,Mali,KSV Cercle Brugge
J. Barreto,José Barreto,Argentina,Patronato
D. Matsuoka,松岡 大起,Japan,Sagan Tosu
Bruno,Bruno Moreira Soares,Brazil,Envigado FC
Moha,Mohamed Sanhaji Brahmi,Morocco,CD Numancia
M. Klimowicz,Mateo Klimowicz,Argentina,VfB Stuttgart
Y. González,Yerko González,Chile,CD O'Higgins
G. Bellodi,Gabriele Bellodi,Italy,Crotone
